Percentile_Score,RawScore1,RawScore2,RawScore3,RawScore4
100.0,150.0,150.0,150.0,150.0
88.9411765,,,,149.0
87.9975783,,149.0,,
87.9008314,,148.95695577193987,149.0,
87.2747658,149.0,148.67840927104945,148.65574058140862,
87.0441176,148.90034242032624,148.5757902339283,148.52891231416132,148.0
86.0822447,148.48474010837333,148.14783774684653,148.0,
85.7499622,148.34116877455003,148.0,147.83171015995416,
85.1029412,148.061606450378,147.72857983399356,147.50401592208038,147.0
84.9603588,148.0,147.66876765065237,147.43180276222589,
84.1077791,147.65546399589812,147.31111724408487,147.0,
83.3661268,147.3557548662121,147.0,146.64188029524445,
83.3235294,147.33854082982214,146.9817246089128,146.62131140020918,146.0
82.4857852,147.0,146.62231058631892,146.2167920512303,
82.0368171,146.80533802786735,146.42969160926444,146.0,
81.2794118,146.4769449651938,146.1047450616107,145.62486161482522,145.0
81.0352656,146.37108893493087,146.0,145.50393743959887,
80.1793866,146.0,145.6530802017267,145.08002561066792,
80.0178147,145.9361535354075,145.58758906226117,145.0,
79.0073529,145.53686124797525,145.1780110683872,144.58997163778741,144.0
78.5681853,145.3633205603707,145.0,144.41176483000424,
77.6487547,145.0,144.65968191422812,144.03867539397993,
77.5534442,144.96197628754632,144.62440368125004,144.0,
76.8014706,144.66197966661625,144.34606813737867,143.63027050202376,143.0
75.8665052,144.2889792571783,144.0,143.17056781037718,
75.5195962,144.1505814094743,143.86674257034198,143.0,
75.1421478,144.0,143.72175410474284,142.84353892614232,
74.2720588,143.67567757164454,143.387528634335,142.48286695272353,142.0
73.2632057,143.2996313427577,143.0,142.06467405697762,
73.1071853,143.24147532078638,142.93617171686924,142.0,
72.4593577,143.0,142.67114404438072,141.750641902308,
71.8014706,142.74644950078016,142.4020010086823,141.49741175936236,141.0
70.8188285,142.36773802428297,142.0,141.11917877767388,
70.5092043,142.24840847597514,141.89233225643866,141.0,
69.8646592,142.0,141.6682001745778,140.76210105764056,
69.0955882,141.73099748780444,141.40076584868063,140.4782401183528,140.0
67.9430907,141.3278816210001,141.0,140.05285803675463,
67.7998812,141.2777903871995,140.94967100303745,140.0,
67.0056859,141.0,140.67056205536736,139.74942859158475,
66.5073529,140.82857619338654,140.4954298187257,139.59220277865208,139.0
65.0976237,140.34363711498287,140.0,139.14742826144186,
64.6303444,140.1828956100902,139.8599857420638,139.0,
64.5,140.13805785457583,139.82092971188627,138.94563468198342,138.0
64.0986626,140.0,139.7006740997865,138.77824095135176,
62.2327791,139.42328497237776,139.14158600483364,138.0,
61.7602543,139.2772350431704,139.0,137.81915187176983,
61.7132353,139.26270221521852,138.9820948394303,137.80115641811057,137.0
60.8632978,139.0,138.65843275789473,137.4758621563329,
59.6199525,138.4435249914773,138.18495826375198,137.0,
59.1342516,138.22614337394353,138.0,136.80640939557992,
59.0735294,138.1989663807442,137.97687656692523,136.78220674864286,136.0
58.6289741,138.0,137.80758683882593,136.60501595236238,
57.1110451,137.39248782867676,137.22954899362637,136.0,
56.5441176,137.16558962954633,137.0136590867306,135.80058362251526,135.0
56.5082488,137.15123406181505,137.0,135.7879667955652,
56.1303756,137.0,136.8716396780621,135.6550501445074,
54.2681116,136.18975293273732,136.23904438796657,135.0,
53.8319853,136.0,136.09089598190448,134.8420566225275,
53.625,135.91553511732027,136.020584830586,134.76709678321225,134.0
53.5644014,135.89080653205573,136.0,134.74515096716286,
51.506829,135.051169072917,135.31514454534903,134.0,
51.3814367,135.0,135.27340817649696,133.94704435510317,
51.2794118,134.96162695982432,135.2394495613468,133.9039572247528,133.0
50.5600121,134.69105033009498,135.0,133.6001405226739,
49.1389549,134.15657016860948,134.49925733796323,133.0,
49.0735294,134.13196269200313,134.47620313646092,132.9714753291713,132.0
48.7226716,134.0,134.35257020404387,132.81850587150302,
47.7221129,133.61792121237696,134.0,132.38227523417845,
46.8453088,133.2831000294609,133.65923266457278,132.0,
46.7867647,133.26074406099002,133.63647967224304,131.97455786743282,131.0
46.1039481,133.0,133.37110500831588,131.67781899099154,
45.1490843,132.59853924802866,133.0,131.262853667702,
44.5442399,132.344239851979,132.72534660412464,131.0,
44.2647059,132.22671321640905,132.59841319387462,130.87612230289125,130.0
43.7254745,132.0,132.35355396202488,130.63715765443797,
42.9468745,131.64386892638373,132.0,130.29211492271702,
42.2877078,131.34236655730706,131.7344442413105,130.0,
41.5392008,131.0,131.43289632593587,129.72672394323476,
41.5294118,130.99572604045963,131.42895267204406,129.72315002967125,129.0
40.4646587,130.53084590256123,131.0,129.33441414798068,
39.6911765,130.19313708368298,130.68060019639307,129.05201977412165,128.0
39.5486936,130.13092785395625,130.62176366430825,129.0,
39.2488188,130.0,130.4979341149965,128.85309406277696,
38.0429847,129.49130911133776,130.0,128.2623669039894,
37.5074228,129.26537798296394,129.7966403708061,128.0,
37.4705882,129.24983900840058,129.7826538071661,127.98270955625766,127.0
36.8783535,129.0,129.55777479880544,127.70471004594374,
35.4094143,128.1624363676173,129.0,127.01517871945963,
35.3770784,128.1439989987593,128.98270094802692,127.0,
35.25,128.07154110104548,128.9147165762836,126.93440612431941,126.0
35.1245295,128.0,128.84759239849402,126.8696421960784,
33.5401847,127.20865147295152,128.0,126.05185321033105,
33.4397268,127.15847476192536,127.95119666614669,126.0,
33.25,127.06371002149662,127.85902571332645,125.90772564762023,125.0
33.1224473,127.0,127.79705948665844,125.84568990577041,
31.4817618,126.1318965875303,127.0,125.0477362588877,
31.3836105,126.07996373478775,126.94972979675485,125.0,
31.3529412,126.06373629571546,126.93402188514914,124.98327219481885,124.0
31.2324818,126.0,126.87232613052552,124.91757061782043,
29.6397059,125.12383291931869,126.0565532552099,124.04883070682071,123.0
29.5501781,125.074584741238,126.01069975452178,124.0,
29.5292871,125.06309285058187,126.0,123.98708974515054,
29.4145912,125.0,125.93737224532458,123.91620978252607,
28.0367647,124.29775837960531,125.1850334082145,123.06473827549746,122.0
27.9320071,124.24436620956601,125.1278322940231,123.0,
27.6978962,124.1250460935949,125.0,122.85663899558645,
27.4525507,124.0,124.86320694411866,122.70639833054973,
26.4411765,123.35893252760705,124.29931248729127,122.08706953744377,121.0
26.2989905,123.26880681584808,124.22003629333808,122.0,
25.9043439,123.01865697185316,124.0,121.74064980778414,
25.8749099,123.0,123.98025680904986,121.72130664466634,
24.9705882,122.41792449587601,123.37367272250178,121.12701289750122,120.0
24.7773159,122.29352289027956,123.2440331246125,121.0,
24.4135008,122.0593497439972,123.0,120.78216368228928,
24.3212941,122.0,122.93997934189592,120.72695440703859,
23.1071853,121.28148924108805,122.14967224722757,120.0,
23.0808824,121.26592315949752,122.13255074338842,119.98425099305102,119.0
22.8772514,121.14541413728469,122.0,119.86232580480079,
22.6315368,121.0,121.8569659608528,119.71520282813795,
21.8088235,120.4988672768363,121.37805259404789,119.22259868643813,118.0
21.4370546,120.27241468242148,121.16164051517137,119.0,
21.1593764,120.10327479793293,121.0,118.79217329183459,
20.9898294,120.0,120.89124300507918,118.6652767803716,
20.5294118,119.73627363623054,120.59590522508509,118.32067978215775,117.0
20.1009501,119.49085155385254,120.32106575915137,118.0,
19.6004238,119.20415099968176,120.0,117.57050378417341,
19.3455882,119.05818163155375,119.84693647531815,117.35183210626577,116.0
19.2440138,119.0,119.78592719842965,117.26467220992295,
18.9355701,118.6990987215361,119.60066470022329,117.0,
18.2189477,118.0,119.17023523742463,116.38507410586469,
17.9779412,117.76303556818851,119.02547797289316,116.17826904715466,115.0
17.9355229,117.72132869157768,119.0,116.14187036487066,
17.77019,117.55876869129452,118.85138034610792,116.0,
17.20189,117.0,118.34052891056864,115.47199050381936,
16.8230664,116.60248988684154,118.0,115.12002418642126,
16.6938836,116.46693479089154,117.89591332067099,115.0,
16.625,116.39465331837832,117.84041161932818,114.9420000060624,114.0
