Percentile_Score,RawScore1,RawScore2,RawScore3,RawScore4
100.0,150,150,150,150
88.9411765,,,,149
87.9975783,,149,,
87.9008314,,,149,
87.2747658,149,,,
87.0441176,,,,148
86.0822447,,,148,
85.7499622,,148,,
85.1029412,,,,147
84.9603588,148,,,
84.1077791,,,147,
83.3661268,,147,,
83.3235294,,,,146
82.4857852,147,,,
82.0368171,,,146,
81.2794118,,,,145
81.0352656,,146,,
80.1793866,146,,,
80.0178147,,,145,
79.0073529,,,,144
78.5681853,,145,,
77.6487547,145,,,
77.5534442,,,144,
76.8014706,,,,143
75.8665052,,144,,
75.5195962,,,143,
75.1421478,144,,,
74.2720588,,,,142
73.2632057,,143,,
73.1071853,,,142,
72.4593577,143,,,
71.8014706,,,,141
70.8188285,,142,,
70.5092043,,,141,
69.8646592,142,,,
69.0955882,,,,140
67.9430907,,141,,
67.7998812,,,140,
67.0056859,141,,,
66.5073529,,,,139
65.0976237,,140,,
64.6303444,,,139,
64.5,,,,138
64.0986626,140,,,
62.2327791,,,138,
61.7602543,,139,,
61.7132353,,,,137
60.8632978,139,,,
59.6199525,,,137,
59.1342516,,138,,
59.0735294,,,,136
58.6289741,138,,,
57.1110451,,,136,
56.5441176,,,,135
56.5082488,,137,,
56.1303756,137,,,
54.2681116,,,135,
53.8319853,136,,,
53.625,,,,134
53.5644014,,136,,
51.506829,,,134,
51.3814367,135,,,
51.2794118,,,,133
50.5600121,,135,,
49.1389549,,,133,
49.0735294,,,,132
48.7226716,134,,,
47.7221129,,134,,
46.8453088,,,132,
46.7867647,,,,131
46.1039481,133,,,
45.1490843,,133,,
44.5442399,,,131,
44.2647059,,,,130
43.7254745,132,,,
42.9468745,,132,,
42.2877078,,,130,
41.5392008,131,,,
41.5294118,,,,129
40.4646587,,131,,
39.6911765,,,,128
39.5486936,,,129,
39.2488188,130,,,
38.0429847,,130,,
37.5074228,,,128,
37.4705882,,,,127
36.8783535,129,,,
35.4094143,,129,,
35.3770784,,,127,
35.25,,,,126
35.1245295,128,,,
33.5401847,,128,,
33.4397268,,,126,
33.25,,,,125
33.1224473,127,,,
31.4817618,,127,,
31.3836105,,,125,
31.3529412,,,,124
31.2324818,126,,,
29.6397059,,,,123
29.5501781,,,124,
29.5292871,,126,,
29.4145912,125,,,
28.0367647,,,,122
27.9320071,,,123,
27.6978962,,125,,
27.4525507,124,,,
26.4411765,,,,121
26.2989905,,,122,
25.9043439,,124,,
25.8749099,123,,,
24.9705882,,,,120
24.7773159,,,121,
24.4135008,,123,,
24.3212941,122,,,
23.1071853,,,120,
23.0808824,,,,119
22.8772514,,122,,
22.6315368,121,,,
21.8088235,,,,118
21.4370546,,,119,
21.1593764,,121,,
20.9898294,120,,,
20.5294118,,,,117
20.1009501,,,118,
19.6004238,,120,,
19.3455882,,,,116
19.2440138,119,,,
18.9355701,,,117,
18.2189477,118,,,
17.9779412,,,,115
17.9355229,,119,,
17.77019,,,116,
17.20189,117,,,
16.8230664,,118,,
16.6938836,,,115,
16.625,,,,114
16.2488989,116,,,
15.6470588,,,,113
15.5819585,,117,,
15.5062352,,,114,
15.2478578,115,,,
14.7205882,,,,112
14.64519,,,113,
14.4770698,,116,,
14.1347001,114,,,
13.8138361,,,112,
13.7647059,,,,111
13.4327229,,115,,
13.2217506,113,,,
12.8488717,,,111,
12.7058824,,,,110
12.6002724,,114,,
12.4289261,112,,,
11.8319477,,,110,
11.7132353,,,,109
11.6200849,111,,,
11.6164674,,113,,
11.1397059,,,,108
10.9857482,,,109,
10.8294233,,112,,
10.6430688,110,,,
10.4411765,,,,107
10.2434679,,,108,
10.0272438,,111,,
9.8662609,109,,,
9.8161765,,,,106
9.5754157,,,107,
9.3617362,108,,,
9.1872257,,110,,
9.0661765,,,,105
9.0483967,,,106,
8.7851365,107,,,
8.4001816,,109,,
8.3358076,,,105,
8.2205882,,,,104
8.2085369,106,,,
7.7796277,,108,,
7.756829,,,104,
7.7426471,,,,103
7.6879955,105,,,
7.2650219,,107,,
7.1985294,,,,102
7.1852732,,,103,
7.1113959,104,,,
6.7279412,,,,101
6.7102138,,,102,
6.6823066,,106,,
6.5828462,103,,,
6.2352941,,,,100
6.2055396,,105,,
6.1609264,,,101,
6.1183631,102,,,
5.7132353,,,,99
5.7099383,101,,,
5.7007126,,,100,
5.6530952,,104,,
5.3455882,,,,98
5.1838959,,103,,
5.158848,,,99,
5.1493553,100,,,
4.9779412,,,,97
4.9190253,,102,,
4.7951306,,,98,
4.7489389,99,,,
4.6911765,,,,96
4.5784774,,101,,
4.4686474,98,,,
4.4388361,,,97,
4.4044118,,,,95
4.1698199,,100,,
4.1270784,,,96,
4.1242893,97,,,
4.0661765,,,,94
3.9192399,,,95,
3.8014706,,,,93
3.7799311,96,,,
3.7611624,,99,,
3.6176471,,,,92
3.5852138,,,94,
3.5556979,95,,,
3.4887241,,98,,
3.3602941,,,,91
3.3476841,,,93,
3.2754064,94,,,
3.238989,,97,,
3.1546912,,,92,
3.1029412,,,,90
3.0431649,93,,,
3.0043893,,96,,
2.9616983,,,91,
2.899015,92,,,
2.8161765,,,,89
2.7697896,,95,,
2.672209,,,90,
2.6470588,,,,88
2.6427485,91,,,
2.5503254,,94,,
2.4117647,,,,87
2.4105069,90,,,
2.3827197,,,89,
2.3088235,,,,86
2.3005903,,93,,
2.2119952,,,88,
2.1782654,89,,,
2.1470588,,,,85
2.111397,,92,,
2.0981821,88,,,
