Percentile_Score,RawScore1,RawScore2,RawScore3,RawScore4
100.0,150.0,150.0,150.0,150.0
88.9411765,,,,149.0
87.9975783,,149.0,,
87.9008314,,,149.0,
87.2747658,149.0,,,
87.0441176,,,,148.0
86.0822447,,,148.0,
85.7499622,,148.0,,
85.1029412,,,,147.0
84.9603588,148.0,,,
84.1077791,,,147.0,
83.3661268,,147.0,,
83.3235294,,,,146.0
82.4857852,147.0,,,
82.0368171,,,146.0,
81.2794118,,,,145.0
81.0352656,,146.0,,
80.1793866,146.0,,,
80.0178147,,,145.0,
79.0073529,,,,144.0
78.5681853,,145.0,,
77.6487547,145.0,,,
77.5534442,,,144.0,
76.8014706,,,,143.0
75.8665052,,144.0,,
75.5195962,,,143.0,
75.1421478,144.0,,,
74.2720588,,,,142.0
73.2632057,,143.0,,
73.1071853,,,142.0,
72.4593577,143.0,,,
71.8014706,,,,141.0
70.8188285,,142.0,,
70.5092043,,,141.0,
69.8646592,142.0,,,
69.0955882,,,,140.0
67.9430907,,141.0,,
67.7998812,,,140.0,
67.0056859,141.0,,,
66.5073529,,,,139.0
65.0976237,,140.0,,
64.6303444,,,139.0,
64.5,,,,138.0
64.0986626,140.0,,,
62.2327791,,,138.0,
61.7602543,,139.0,,
61.7132353,,,,137.0
60.8632978,139.0,,,
59.6199525,,,137.0,
59.1342516,,138.0,,
59.0735294,,,,136.0
58.6289741,138.0,,,
57.1110451,,,136.0,
56.5441176,,,,135.0
56.5082488,,137.0,,
56.1303756,137.0,,,
54.2681116,,,135.0,
53.8319853,136.0,,,
53.625,,,,134.0
53.5644014,,136.0,,
51.506829,,,134.0,
51.3814367,135.0,,,
51.2794118,,,,133.0
50.5600121,,135.0,,
49.1389549,,,133.0,
49.0735294,,,,132.0
48.7226716,134.0,,,
47.7221129,,134.0,,
46.8453088,,,132.0,
46.7867647,,,,131.0
46.1039481,133.0,,,
45.1490843,,133.0,,
44.5442399,,,131.0,
44.2647059,,,,130.0
43.7254745,132.0,,,
42.9468745,,132.0,,
42.2877078,,,130.0,
41.5392008,131.0,,,
41.5294118,,,,129.0
40.4646587,,131.0,,
39.6911765,,,,128.0
39.5486936,,,129.0,
39.2488188,130.0,,,
38.0429847,,130.0,,
37.5074228,,,128.0,
37.4705882,,,,127.0
36.8783535,129.0,,,
35.4094143,,129.0,,
35.3770784,,,127.0,
35.25,,,,126.0
35.1245295,128.0,,,
33.5401847,,128.0,,
33.4397268,,,126.0,
33.25,,,,125.0
33.1224473,127.0,,,
31.4817618,,127.0,,
31.3836105,,,125.0,
31.3529412,,,,124.0
31.2324818,126.0,,,
29.6397059,,,,123.0
29.5501781,,,124.0,
29.5292871,,126.0,,
29.4145912,125.0,,,
28.0367647,,,,122.0
27.9320071,,,123.0,
27.6978962,,125.0,,
27.4525507,124.0,,,
26.4411765,,,,121.0
26.2989905,,,122.0,
25.9043439,,124.0,,
25.8749099,123.0,,,
24.9705882,,,,120.0
24.7773159,,,121.0,
24.4135008,,123.0,,
24.3212941,122.0,,,
23.1071853,,,120.0,
23.0808824,,,,119.0
22.8772514,,122.0,,
22.6315368,121.0,,,
21.8088235,,,,118.0
21.4370546,,,119.0,
21.1593764,,121.0,,
20.9898294,120.0,,,
20.5294118,,,,117.0
20.1009501,,,118.0,
19.6004238,,120.0,,
19.3455882,,,,116.0
19.2440138,119.0,,,
18.9355701,,,117.0,
18.2189477,118.0,,,
17.9779412,,,,115.0
17.9355229,,119.0,,
17.77019,,,116.0,
17.20189,117.0,,,
16.8230664,,118.0,,
16.6938836,,,115.0,
16.625,,,,114.0
16.2488989,116.0,,,
15.6470588,,,,113.0
15.5819585,,117.0,,
15.5062352,,,114.0,
15.2478578,115.0,,,
14.7205882,,,,112.0
14.64519,,,113.0,
14.4770698,,116.0,,
14.1347001,114.0,,,
13.8138361,,,112.0,
13.7647059,,,,111.0
13.4327229,,115.0,,
13.2217506,113.0,,,
12.8488717,,,111.0,
12.7058824,,,,110.0
12.6002724,,114.0,,
12.4289261,112.0,,,
11.8319477,,,110.0,
11.7132353,,,,109.0
11.6200849,111.0,,,
11.6164674,,113.0,,
11.1397059,,,,108.0
10.9857482,,,109.0,
10.8294233,,112.0,,
10.6430688,110.0,,,
10.4411765,,,,107.0
10.2434679,,,108.0,
10.0272438,,111.0,,
9.8662609,109.0,,,
9.8161765,,,,106.0
9.5754157,,,107.0,
9.3617362,108.0,,,
9.1872257,,110.0,,
9.0661765,,,,105.0
9.0483967,,,106.0,
8.7851365,107.0,,,
8.4001816,,109.0,,
8.3358076,,,105.0,
8.2205882,,,,104.0
8.2085369,106.0,,,
7.7796277,,108.0,,
7.756829,,,104.0,
7.7426471,,,,103.0
7.6879955,105.0,,,
7.2650219,,107.0,,
7.1985294,,,,102.0
7.1852732,,,103.0,
7.1113959,104.0,,,
6.7279412,,,,101.0
6.7102138,,,102.0,
6.6823066,,106.0,,
6.5828462,103.0,,,
6.2352941,,,,100.0
6.2055396,,105.0,,
6.1609264,,,101.0,
6.1183631,102.0,,,
5.7132353,,,,99.0
5.7099383,101.0,,,
5.7007126,,,100.0,
5.6530952,,104.0,,
5.3455882,,,,98.0
5.1838959,,103.0,,
5.158848,,,99.0,
5.1493553,100.0,,,
4.9779412,,,,97.0
4.9190253,,102.0,,
4.7951306,,,98.0,
4.7489389,99.0,,,
4.6911765,,,,96.0
4.5784774,,101.0,,
4.4686474,98.0,,,
4.4388361,,,97.0,
4.4044118,,,,95.0
4.1698199,,100.0,,
4.1270784,,,96.0,
4.1242893,97.0,,,
4.0661765,,,,94.0
3.9192399,,,95.0,
3.8014706,,,,93.0
3.7799311,96.0,,,
3.7611624,,99.0,,
3.6176471,,,,92.0
3.5852138,,,94.0,
3.5556979,95.0,,,
3.4887241,,98.0,,
3.3602941,,,,91.0
3.3476841,,,93.0,
3.2754064,94.0,,,
3.238989,,97.0,,
3.1546912,,,92.0,
3.1029412,,,,90.0
3.0431649,93.0,,,
3.0043893,,96.0,,
2.9616983,,,91.0,
2.899015,92.0,,,
2.8161765,,,,89.0
2.7697896,,95.0,,
2.672209,,,90.0,
2.6470588,,,,88.0
2.6427485,91.0,,,
2.5503254,,94.0,,
2.4117647,,,,87.0
2.4105069,90.0,,,
2.3827197,,,89.0,
2.3088235,,,,86.0
2.3005903,,93.0,,
2.2119952,,,88.0,
2.1782654,89.0,,,
2.1470588,,,,85.0
2.111397,,92.0,,
2.0981821,88.0,,,
2.0783848,,,87.0,
1.9852941,,,,84.0
1.9676101,,91.0,,
1.9380155,87.0,,,
1.8823529,,,,83.0
1.8779691,,,86.0,
1.7858573,86.0,,,
1.7814727,,,85.0,
1.7708491,,90.0,,
1.7647059,,,,82.0
1.6417074,85.0,,,
1.5967913,,89.0,,
1.5959026,,,84.0,
1.5661765,,,,81.0
1.5142518,,,83.0,
1.5135741,84.0,,,
1.4926471,,,,80.0
1.490843,,88.0,,
1.4177553,,,82.0,
1.4000303,,87.0,,
1.3970588,,,,79.0
1.3774325,83.0,,,
1.3167852,,86.0,,
1.3161765,,,,78.0
1.2915677,,,81.0,
1.2733243,82.0,,,
1.2352941,,,,77.0
1.210837,,85.0,,
1.1852326,81.0,,,
1.1802257,,,80.0,
1.1397059,,,,76.0
1.0891327,80.0,,,
1.0821856,,84.0,,
1.0688836,,,79.0,
1.0367647,,,,75.0
1.0020784,,,78.0,
0.9762373,,83.0,,
0.9632353,,,,74.0
0.9369745,79.0,,,
0.9352732,,,77.0,
0.9049411,78.0,,,
0.9044118,,,,73.0
0.8854245,,82.0,,
0.8758907,,,76.0,
0.8529412,,,,72.0
0.8408745,77.0,,,
0.8165083,,,75.0,
0.7941176,,,,71.0
0.787044,,81.0,,
0.7645487,,,74.0,
0.7447746,76.0,,,
0.7426471,,,,70.0
