Percentile_Score,RawScore1,RawScore2,RawScore3,RawScore4
100.0,200.0,194.0,188.0,200.0
94.1176471,192.0,,186.0,
92.8571429,,192.0,,
92.3076923,,,,194.0
88.2352941,190.0,,184.0,
85.7142857,,100.0,,
84.6153846,,,,98.0
82.3529412,184.0,,180.0,
78.5714286,,42.0,,
76.9230769,,,,44.0
76.4705882,180.0,,172.0,
71.4285714,,26.0,,
70.5882353,88.0,,56.0,
69.2307692,,,,40.0
64.7058824,48.0,,36.0,
64.2857143,,14.0,,
61.5384615,,,,32.0
58.8235294,40.0,,20.0,
57.1428571,,4.0,,
53.8461538,,,,30.0
52.9411765,22.0,,14.0,
50.0,,2.0,,
47.0588235,8.0,,9.0,
46.1538462,,,,28.0
42.8571429,,0.0,,
41.1764706,6.0,,5.0,
38.4615385,,,,26.0
35.7142857,,-2.0,,
35.2941176,2.0,,3.0,
30.7692308,,,,24.0
29.4117647,1.0,,2.0,
28.5714286,,-12.0,,
23.5294118,0.0,,0.0,
23.0769231,,,,1.0
21.4285714,,-14.0,,
17.6470588,-1.0,,-3.0,
15.3846154,,,,-2.0
14.2857143,,-30.0,,
11.7647059,-6.0,,-22.0,
7.6923077,,,,-40.0
7.1428571,,-36.0,,
5.8823529,-40.0,,-36.0,
